Species,CommonName,Species.CommonName,Color
Menidia menidia,Atlantic silverside,Menidia menidia (Atlantic silverside),steelblue4
Brevoortia tyrannus,Atlantic menhaden,Brevoortia sp. (Atlantic menhaden),#FF7F00
Engraulis encrasicolus,Anchovies,Engraulidae (Anchovies),linen
Pomatomus saltatrix,Bluefish,Pomatomus saltatrix (Bluefish),#589CC7
Lutjanus griseus,Grey snapper,Lutjanus griseus (Grey snapper),#916DB2
Paralichthys dentatus,Summer flounder,Paralichthyidae (Summer flounder),darkseagreen
Alosa mediocris,Hickory shad,Alosa mediocris (Hickory shad),lightsalmon
Gobiosoma ginsburgi,Seaboard goby,Gobiosoma ginsburgi (Seaboard goby),#DF536B
Scophthalmus aquosus,Windowpane flounder,Scophthalmus aquosus (Windowpane flounder),#9DD08F
Centropristis striata,Black sea bass,Centropristis striata (Black sea bass),#61D04F
Stenotomus chrysops,Scup,Stenotomus chrysops (Scup),maroon4
Syngnathus fuscus,Northern pipefish,Syngnathus fuscus (Northern pipefish),darkgreen
Leiostomus xanthurus,Spot,Leiostomus xanthurus (Spot),#2297E6
Menticirrhus saxatilis,Northern kingfish,Menticirrhus saxatilis (Northern kingfish),#F79A97
Tautoga onitis,Tautog,Tautoga onitis (Tautog),#28E2E5
Myoxocephalus aenaeus,Grubby sculpin,Myoxocephalus aenaeus (Grubby sculpin),#A98F99
Pseudopleuronectes americanus,Winter flounder,Pseudopleuronectes sp. (Winter flounder),indianred2
Morone saxatilis,Striped bass,Morone saxatilis (Striped bass),thistle
Etropus microstomus,Smallmouth flounder,Etropus microstomus (Smallmouth flounder),burlywood3
Cynoscion regalis,Weakfish,Cynoscion regalis (Weakfish),tomato
Tautogolabrus adspersus,Cunner,Tautogolabrus adspersus (Cunner),lightsteelblue
Anguilla rostrata,American eel,Anguilla rostrata (American eel),aquamarine2
Thunnus obesus,Bigeye tuna,Thunnus obesus (Bigeye tuna),lightyellow2
Apeltes quadracus,Stickleback,Apeltes quadracus (Stickleback),#DED499
Fundulus majalis,Striped killifish,Fundulus majalis (Striped killifish),#886499
Membras martinica,Rough silverside,Membras martinica (Rough silverside),red
Urophycis floridana,Spotted hake,Urophycis floridana (Spotted hake),#849D58
Scomber japonicus,Chub mackerel,Scomber japonicus (Chub mackerel),#9E9C66
Prionotus carolinus,Northern searobin,Prionotus carolinus (Northern searobin),#CABA99
Thunnus thynnus,Atlantic bluefin tuna,Thunnus thynnus (Atlantic bluefin tuna),mediumorchid
Bairdiella chrysoura,American silver perch,Bairdiella chrysoura (American silver perch),#E62F27
Microgadus tomcod,Atlantic tomcod,Microgadus tomcod (Atlantic tomcod),#729E4E
Engraulis mordax,Anchovies,Engraulidae (Anchovies),linen
Myoxocephalus quadricornis,Fourhorn sculpin,Myoxocephalus quadricornis (Fourhorn sculpin),#FDAC4F
Fundulus heteroclitus,Mummichog,Fundulus heteroclitus (Mummichog),#CD0BBC
Urophycis floridana,Red hake,Urophycis floridana (Red hake),#E83637
Opsanus tau,Oyster toadfish,Opsanus tau (Oyster toadfish),peachpuff
Katsuwonus pelamis,Skipjack tuna,Katsuwonus pelamis (Skipjack tuna),#6F449D
Sphoeroides maculatus,Northern puffer,Sphoeroides maculatus (Northern puffer),midnightblue
Merluccius bilinearis,Silver hake,Merluccius bilinearis (Silver hake),#619E45
Belone belone,Blue chromis,Belone belone (Blue chromis),#227AB5
Prionotus evolans,Striped searobin,Prionotus evolans (Striped searobin),#FE8A14
Rhinoptera bonasus,Cownose ray,Rhinoptera bonasus (Cownose ray),#F5C710
Brevoortia patronus,Atlantic menhaden,Brevoortia sp. (Atlantic menhaden),#FF7F00
Anchoa mitchilli,Anchovies,Engraulidae (Anchovies),linen
Menidia peninsulae,Tidewater silverside,Menidia peninsulae (Tidewater silverside),#FBB369
Chilomycterus schoepfii,Striped burrfish,Chilomycterus schoepfii (Striped burrfish),#B89CCA
Lucania goodei,Bluefin Killifish,Lucania goodei (Bluefin Killifish),#B397C8
Chasmodes bosquianus,Striped blenny,Chasmodes bosquianus (Striped blenny),#EF8E40
Scomber colias,Atlantic chub mackerel,Scomber colias (Atlantic chub mackerel),#62A7A0
Mugil cephalus,Flathead grey mullet,Mugil cephalus (Flathead grey mullet),#349F2C
Sphoeroides nephelus,Southern puffer,Sphoeroides nephelus (Southern puffer),#F8F699
Stenotomus caprinus,Longspine porgy,Stenotomus caprinus (Longspine porgy),#8D68B0
Trinectes maculatus,Hogchoker,Trinectes maculatus (Hogchoker),#53B044
Gobiosoma bosc,Naked goby,Gobiosoma bosc (Naked goby),dodgerblue3
Urophycis regia,Spotted hake,Urophycis regia (Spotted hake),#F57A7A
Anchoa lyolepis,Anchovies,Engraulidae (Anchovies),linen
Caranx hippos,Crevalle jack,Caranx hippos (Crevalle jack),honeydew2
Thunnus albacares,Yellowfin tuna,Thunnus albacares (Yellowfin tuna),#B6A099
Aluterus schoepfii,Orange filefish,Aluterus schoepfii (Orange filefish),firebrick
Lactophrys trigonus,Buffalo trunkfish,Lactophrys trigonus (Buffalo trunkfish),#2E81B9
Peprilus burti,Butterfish,Peprilus burti (Butterfish),greenyellow
Mugil curema,White mullet,Mugil curema (White mullet),hotpink3
Alosa sapidissima,American shad,Alosa sapidissima (American shad),#64B850
Lutjanus campechanus,Northern red snapper,Lutjanus campechanus (Northern red snapper),#4C94C3
Ctenogobius boleosoma,Darter goby,Ctenogobius boleosoma (Darter goby),#6A3D9A
Fundulus luciae,Spotfin killifish,Fundulus luciae (Spotfin killifish),#F88B8A
Cyprinodon variegatus,Sheepshead minnow,Cyprinodon variegatus (Sheepshead minnow),#88BAD8
Strongylura marina,Atlantic needlefish,Strongylura marina (Atlantic needlefish),mediumblue
Thunnus maccoyii,Southern bluefin tuna,Thunnus maccoyii (Southern bluefin tuna),#F68723
Sardinops sagax,Sardine,Sardinops sagax (Sardine),#83BE97
Ammodytes dubius,Northern sandlance,Ammodytes dubius (Northern sandlance),#FFFF99
Balistes capriscus,Grey triggerfsh,Balistes capriscus (Grey triggerfsh),#BDA999
Eucinostomus gula,Silver jenny,Eucinostomus gula (Silver jenny),#D7CB99
Anchoa hepsetus,Anchovies,Engraulidae (Anchovies),linen
Hyperoplus lanceolatus,Great sand eel,Hyperoplus lanceolatus (Great sand eel),#CBB0CE
Thunnus tonggol,Longtail tuna,Thunnus tonggol (Longtail tuna),#94C2DC
Sphoeroides parvus,Least puffer,Sphoeroides parvus (Least puffer),#5EA0CA
Sardinella aurita,Round sardinella,Sardinella aurita (Round sardinella),#CEADC4
Hypsoblennius hentz,Feather blenny,Hypsoblennius hentz (Feather blenny),#F1784B
Alosa agone,Twaite shad,Alosa agone (Twaite shad),#91CE71
Brevoortia gunteri,Atlantic menhaden,Brevoortia sp. (Atlantic menhaden),#FF7F00
Ocyurus chrysurus,Yellowtail snapper,Ocyurus chrysurus (Yellowtail snapper),#287EB7
Euthynnus alletteratus,Little tunny,Euthynnus alletteratus (Little tunny),#E59A8D
Eucinostomus sp. RA02,unclassified Eucinostomus,Eucinostomus sp. RA02 (unclassified Eucinostomus),#287EB1
Astroscopus guttatus,Northern stargazer,Astroscopus guttatus (Northern stargazer),#69AB9E
Menidia beryllina,Inland silverside,Menidia beryllina (Inland silverside),#E52527
Allothunnus fallai,Slender tuna,Allothunnus fallai (Slender tuna),#4895A8
Coryphaena hippurus,Mahi-mahi,Coryphaena hippurus (Mahi-mahi),#FDB55E
Mustelus canis,Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Bathytoshia centroura,Roughtail stingray,Bathytoshia centroura (Roughtail stingray),#E73032
Myliobatis freminvillei,Bullnose ray,Myliobatis freminvillei (Bullnose ray),#4DAD3F
Leucoraja erinacea,Little skate,Leucoraja erinacea (Little skate),#3DA533
Squalus acanthias,Spiny dogfish,Squalus acanthias (Spiny dogfish),#EC5439
Raja eglanteria,Clearnose skate,Raja eglanteria (Clearnose skate),#8D9D5D
Gymnura altavela,Spiny Butterfly Ray,Gymnura altavela (Spiny Butterfly Ray),#C29B7A
Amblyraja radiata,Thorny skate,Amblyraja radiata (Thorny skate),#FCBA6C
Leucoraja ocellata,Winter skate,Leucoraja ocellata (Winter skate),#97D176
Neoraja iberica,Iberian pygmy skate,Neoraja iberica (Iberian pygmy skate),#AB8CC2
Malacoraja kreffti,Krefft's ray,Malacoraja kreffti (Krefft's ray),#EB4748
Mustelus mosis,Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Isurus oxyrinchus,Mako shark,Isurus oxyrinchus (Mako shark),#957599
Carcharias taurus,Sand tiger shark,Carcharias taurus (Sand tiger shark),#DE9E82
Canis lupus,Wolf,Canis lupus (Wolf),#4691C1
Squalus suckleyi,Pacific spiny dogfish,Squalus suckleyi (Pacific spiny dogfish),#B0DE8A
Pteroplatytrygon violacea,Pelagic sting ray,Pteroplatytrygon violacea (Pelagic sting ray),#86C969
Scyliorhinus retifer,Chain catshark,Scyliorhinus retifer (Chain catshark),#FE9E37
Triakis semifasciata,Leopard shark,Triakis semifasciata (Leopard shark),#ED5253
